route,total_distance,speedAvg,temperature,energy_consumption,slope
1,4205.270059726966,71.0,,0.0,
2,18632.377163725167,106.0,,2970.0,
3,33087.97136043405,60.0,,4290.0,
4,20347.33163434583,95.0,,4290.0,
5,4174.777336916378,71.0,12.285713857142856,0.0,
6,18571.39662024152,106.0,13.386029727941176,3100.0,
7,33213.25614646405,60.0,13.456521565217392,4340.0,
8,20366.95082440368,95.0,14.396693421487605,4340.0,
9,28646.48100686588,45.0,,4620.0,
10,23561.065629302502,115.0,,3960.0,
11,34240.191870088645,70.0,,5610.0,
12,43465.41162830981,96.0,,6600.0,
13,28326.82661885024,45.0,16.198412821428573,4340.0,
14,23428.45705000621,115.0,17.491525610169493,3720.0,
15,34021.92983659845,70.0,16.272401630824373,6200.0,
16,43492.420664018486,96.0,17.02007311678832,6820.0,
17,4504.499320089163,100.0,,0.0,
18,18808.54277009155,106.0,,2640.0,
19,33506.87914846007,66.0,,4620.0,
20,20473.13916336232,97.0,,3630.0,
21,4649.460608768538,100.0,11.601694440677967,0.0,
22,18461.275833661926,106.0,11.461239937984496,3100.0,
23,33065.13187976109,66.0,13.171232899543378,4340.0,
24,20391.3944029343,97.0,15.590163672131148,4340.0,
25,17854.737561167603,41.0,,2970.0,
26,24137.48961307314,114.0,,3300.0,
27,36310.050586667945,75.0,,4950.0,
28,44241.312873416864,109.0,,7260.0,
29,28692.538671382597,41.0,20.04044107352941,3720.0,
30,24016.10629866477,114.0,23.525180402877695,3100.0,
31,36098.58492419245,75.0,21.22168297734628,6820.0,
32,43891.95214404324,109.0,23.82209757303371,7440.0,
33,21860.80479695566,98.0,,2970.0,
34,27329.6364107193,97.0,,3960.0,
35,21908.83716434408,98.0,26.088757337278107,3100.0,
36,28187.97539925925,97.0,27.072674523255813,4340.0,
37,4361.413300648389,108.0,,0.0,
38,18658.03314544411,105.0,,3300.0,
39,33207.134357637944,60.0,,3960.0,
40,20097.799036172823,107.0,,3300.0,
41,4698.241241706128,108.0,13.898304949152545,0.0,
42,18445.91472290965,105.0,13.472222319444445,3100.0,
43,33009.613391332554,60.0,13.843283631840798,4960.0,
44,19914.40315451777,107.0,16.515873015873016,4340.0,
45,4150.669346304945,98.0,,0.0,
46,4156.370882617498,98.0,16.520408163265305,0.0,
47,58855.77280406673,57.0,,8580.0,
48,58711.22243903239,57.0,20.06606232642487,9300.0,
49,41107.847929323,137.0,,5940.0,
50,40842.89680897342,137.0,22.84210528947368,6200.0,
51,38588.20079989676,59.0,,4950.0,
52,38457.39900156934,59.0,22.34259237962963,5580.0,
53,57050.28778565473,8.0,,7590.0,
54,58109.433749815,8.0,19.324758765273312,9300.0,
55,37909.39314013966,112.0,,4290.0,
56,37242.76469710972,112.0,12.739177512987013,5580.0,
57,17341.31633059108,108.0,,1650.0,
58,17149.099917674877,108.0,14.934931797945204,1860.0,
1102,20757.508428820995,111.50736643582246,0.741770214307623,12054.316837893046,6.879445723818213
1435,642.9176296592819,48.61232334330797,-3.495516154077721,4488.70104769729,-3.007212319399515
1860,40842.82360003485,108.73332025589964,9.248274673124495,11701.37693672586,0.0295845262511011
1270,5305.228735924097,38.57948414974584,2.8684089901268166,7389.265564508191,8.27194304566259
1106,5825.925674399545,57.17243836125499,16.75024402320902,6761.205202007953,2.7768144260838143
1071,2510.091060779996,27.123479737919965,1.6298736724197376,4319.06050402437,1.0192223120085853
1700,10101.039527342744,76.85712506110127,1.2067481426024085,9285.72513709307,8.582446483762626
